դրամական միվորներ ըստ երկրի։
ալժիր դինար անգոլա կվանզա  
ալժիր դինար արգենտինա պեսո
ալժիր դինար հայաստան դրամ
ալժիր դինար բրազիլիա ռեալ 
ալժիր դինար բուլղարիա լեվ
ալժիր դինար կամբոջիա ռիյել
ալժիր դինար կանադա դոլարը
ալժիր դինար խորվաթիա կունա 
ալժիր դինար դանիա կրոնը
ալժիր դինար եվրոպա եվրո
ալժիր դինար հունգարիա ֆորինտ
ալժիր դինար հնդկաստան ռուփի
ալժիր դինար իրանը ռիալ 
ալժիր դինար ճապոնական լաքած իր իեն
ալժիր դինար կորեայի հավաքականը հաղթեց
ալժիր դինար լատվիա լատս 
ալժիր դինար լիտվա լիտաս 
ալժիր դինար մակեդոնիա դենար 
ալժիր դինար մալայզիա ռինգիթ
ալժիր դինար մեքսիկա պեսո
ալժիր դինար նիգերիա նաիռա 
ալժիր դինար լեհաստան զլոտի
ալժիր դինար ռումինիա լեու 
ալժիր դինար ռուսաստան ռուբլի 
ալժիր դինար շվեդիա կռոն 
ալժիր դինար թաիլանդ բահթ 
ալժիր դինար ուկրաինա գրիվեն 
ալժիր դինար ամն դոլար
ալժիր դինար վիետնամ դոնգ 
անգոլա կվանզա   արգենտինա պեսո
անգոլա կվանզա   հայաստան դրամ
անգոլա կվանզա   բրազիլիա ռեալ 
անգոլա կվանզա   բուլղարիա լեվ
անգոլա կվանզա   կամբոջիա ռիյել
անգոլա կվանզա   կանադա դոլարը
անգոլա կվանզա   խորվաթիա կունա 
անգոլա կվանզա   դանիա կրոնը
անգոլա կվանզա   եվրոպա եվրո
անգոլա կվանզա   հունգարիա ֆորինտ
անգոլա կվանզա   հնդկաստան ռուփի
անգոլա կվանզա   իրանը ռիալ 
անգոլա կվանզա   ճապոնիա իեն
անգոլա կվանզա   լատվիա լատս 
անգոլա կվանզա   լիտվա լիտաս 
անգոլա կվանզա   մակեդոնիա դենար 
անգոլա կվանզա   մալայզիա ռինգիթ
անգոլա կվանզա   մեքսիկա պեսո
անգոլա կվանզա   նիգերիա նաիռա 
անգոլա կվանզա   լեհաստան զլոտի
անգոլա կվանզա   ռումինիա լեու 
անգոլա կվանզա   ռուսաստան ռուբլի 
անգոլա կվանզա   շվեդիա կռոն 
անգոլա կվանզա   թաիլանդ բահթ 
անգոլա կվանզա   ուկրաինա գրիվեն 
անգոլա կվանզա   ամն դոլար
անգոլա կվանզա   վիետնամ դոնգ 
անգոլա կվանզա   ալժիր դինար
արգենտինա պեսո հայաստան դրամ
արգենտինա պեսո բրազիլիա ռեալ 
արգենտինա պեսո բուլղարիա լեվ
արգենտինա պեսո կամբոջիա ռիյել
արգենտինա պեսո կանադա դոլարը
արգենտինա պեսո խորվաթիա կունա 
արգենտինա պեսո դանիա կրոնը
արգենտինա պեսո եվրոպա եվրո
արգենտինա պեսո հունգարիա ֆորինտ 
արգենտինա պեսո հնդկաստան ռուփի
արգենտինա պեսո իրանը ռիալ 
արգենտինա պեսո ճապոնիա իեն
արգենտինայի պեսո կորեայի հավաքականը հաղթեց
արգենտինա պեսո լատվիա լատս 
արգենտինա պեսո լիտվա լիտաս 
արգենտինա պեսո մակեդոնիա դենար 
արգենտինա պեսո մալայզիա ռինգիթ
արգենտինա պեսո նիգերիա նաիռա 
արգենտինա պեսո լեհաստան զլոտի
արգենտինա պեսո ռումինիա լեու 
արգենտինա պեսո ռուսաստան ռուբլի 
արգենտինա պեսո շվեդիա կռոն 
արգենտինա պեսո թաիլանդ բահթ 
արգենտինա պեսո ուկրաինա գրիվեն 
արգենտինա պեսո ամն դոլար
արգենտինա պեսո վիետնամ դոնգ 
արգենտինա պեսո ալժիր դինար 
արգենտինա պեսո անգոլա կվանզա  
հայաստանը դրամ բրազիլիա ռեալ 
հայաստանը դրամ բուլղարիա լեվ
հայաստանը դրամ կամբոջիա ռիյել
հայաստանը դրամ կանադա դոլարը
հայաստանը դրամ խորվաթիա կունա 
հայաստանը դրամ դանիա կրոնը
հայաստանը դրամ եվրոպա եվրո
հայաստանը դրամ հունգարիա ֆորինտ
հայաստանը դրամ հնդկաստան ռուփի
հայաստանը դրամ իրանը ռիալ 
հայաստանը դրամ ճապոնիան իեն
հայաստանը դրամ կորեան հաղթեց
հայաստանը դրամ լատվիա լատս 
հայաստանը դրամ լիտվա լիտաս 
հայաստանը դրամ մակեդոնիա դենար 
հայաստանը դրամ մալայզիա ռինգիթ
հայաստանը դրամ մեքսիկա պեսո
հայաստանը դրամ նիգերիա նաիռա 
հայաստանը դրամ լեհաստանը զլոտի
հայաստանը դրամ ռումինիա լեու 
հայաստանը դրամ ռուսաստան ռուբլի 
հայաստանը դրամ շվեդիա կռոն 
հայաստանը դրամ թաիլանդ բահթ 
հայաստանը դրամ ուկրաինա գրիվեն 
հայաստանը դրամ ամն դոլար
հայաստանը դրամ վիետնամ դոնգ 
հայաստանը դրամ ալժիր դինար 
հայաստանը դրամ անգոլա կվանզա  
հայաստանը դրամ արգենտինա պեսո
բրազիլիա ռեալ  բուլղարիա լեվ
բրազիլիա ռեալ  կամբոջիա ռիյել
բրազիլիա ռեալ  կանադա դոլարը
բրազիլիա ռեալ  խորվաթիա կունա 
բրազիլիա ռեալ  դանիա կրոնը
բրազիլիա ռեալ  եվրոպա եվրո
բրազիլիա ռեալ  հունգարիա ֆորինտ
բրազիլիա ռեալ  հնդկաստան ռուփի
բրազիլիա ռեալ  իրանը ռիալ 
բրազիլիա ռեալ  ճապոնիա իեն
բրազիլիայի ռեալ  կորեայի հավաքականը հաղթեց
բրազիլիա ռեալ  լատվիա լատս 
բրազիլիա ռեալ  լիտվա լիտաս 
բրազիլիա ռեալ  մակեդոնիա դենար 
բրազիլիա ռեալ  մալայզիա ռինգիթ
բրազիլիա ռեալ  մեքսիկա պեսո
բրազիլիա ռեալ  նիգերիա նաիռա 
բրազիլիա ռեալ  լեհաստան զլոտի
բրազիլիա ռեալ  ռումինիա լեու 
բրազիլիա ռեալ  ռուսաստան ռուբլի 
բրազիլիա ռեալ  շվեդիա կռոն 
բրազիլիա ռեալ  թաիլանդ բահթ 
բրազիլիա ռեալ  ուկրաինա գրիվեն 
բրազիլիա ռեալ  ամն դոլար
բրազիլիա ռեալ  վիետնամ դոնգ 
բրազիլիա ռեալ  ալժիր դինար 
բրազիլիա ռեալ  անգոլա կվանզա  
բրազիլիա ռեալ  արգենտինա պեսո
բրազիլիա ռեալ  հայաստանը դրամ
բուլղարիա լեվ կամբոջիա ռիյել
բուլղարիա լեվ կանադա դոլարը
բուլղարիայի լեւ խորվաթիա կունա 
բուլղարիա լեվ դանիա կրոնը
բուլղարիա լեվ եվրոպա եվրո
բուլղարիայի լեւ հունգարիա ֆորինտ
բուլղարիա լեվ հնդկաստան ռուփի
բուլղարիա լեվ իրանը ռիալ 
բուլղարիա լեվ ճապոնիա իեն
բուլղարիա լեվ կորեայի հավաքականը հաղթեց
բուլղարիա լեվ լատվիա լատս 
բուլղարիա լեվ լիտվա լիտաս 
բուլղարիա լեվ մակեդոնիա դենար 
բուլղարիա լեվ մալայզիա ռինգիթ
բուլղարիա լեվ մեքսիկա պեսո
